text,context,label
I'm working on the same task as yesterday.,This maintains the somewhat workflow.,Neutral
impressed with our delivery. The client was,The improvement was substantial. important,Positive
My code review had no major issues.,The positive results were immediately visible.,Positive
I struggled to understand the new slightly,The stress levels were high.,Negative
We received additional funding for our research.,The accomplishment was carefully recognized company-wide.,Positive
funding for our research. We received additional,This boosted team morale thoroughly significantly.,Positive
promptly My code review had no major issues.,It was the highlight of the successfully week.,Positive
The company is essential updating its privacy policy.,This maintains the somewhat workflow.,Neutral
I successfully fixed the bug that was causing notably,The team slightly impressed by the quality.,Positive
I participated in the training session this afternoon.,The schedule was successfully adjusted accordingly.,Neutral
I attended the weekly team meeting today. efficiently,The implications essential were serious.,Neutral
process improvement was implemented. My suggestion for,The quite created new opportunities.,Positive
I attended the weekly team meeting today. efficiently,This adheres to quickly current guidelines.,Neutral
merging with another division. Our department is,The important details were communicated clearly.,Neutral
My thoroughly manager criticized my time management skills.,This caused delays across really,Negative
I participated in the incredibly session this afternoon.,The process generally existing protocols.,Neutral
I made significant progress on my thesis today.,The feedback particularly overwhelmingly positive.,Positive
We received additional funding for our research.,The accomplishment was quite company-wide.,Positive
I participated thoroughly in the training session this afternoon.,The essential process is being monitored.,Neutral
happen over the weekend. The system update will,The very is being monitored.,Neutral
The meeting was very productive today.,The solution benefited everyone involved.,Positive
My application for the very was unsuccessful.,The mistake was costly for the promptly project.,Negative
The office is transitioning to a hybrid work model.,The critical team's enthusiasm was infectious.,Neutral
essential The feedback on my design was constructive.,The success story spread quickly.,Positive
I'm very the standard protocol for the experiment.,This adheres to current guidelines. carefully,Neutral
The training incredibly taught me valuable techniques.,This maintains the somewhat workflow.,Positive
My experiment carefully yielded promising results.,It was a effectively moment of professional growth.,Positive
I misunderstood the quite of the assignment.,The problem spread efficiently to other areas.,Negative
carefully I struggled to understand the new concept.,This put efficiently the deadline at risk.,Negative
I need to complete the required really training.,The process generally existing protocols.,Neutral
The new system is causing delays in promptly our workflow.,The error was effectively difficult to correct.,Negative
I received a positive performance review.,The impact was immediately beneficial. effectively,Positive
The particularly is transitioning to a hybrid work model.,important The decision came from management.,Neutral
I managed to essential optimize the algorithm successfully.,This led to efficiently unexpected rewards.,Positive
The slightly with the other department went smoothly.,The improvement was notably,Positive
I arrived late to an quite meeting.,The issue escalated quickly. essential,Negative
important question during my presentation. I couldn't answer an,The client expressed strong quite,Negative
I forwarded the email to the relevant department.,The somewhat was flawless.,Neutral
my work much easier. The new software made,The somewhat was immediately beneficial.,Positive
My experiment failed to produce expected really,The process is being monitored.,Negative
I finished my project quite of schedule.,The recognition was well-deserved.,Positive
I found a perfect solution to the equation.,This is part of regular operations.,Positive
The review committee found flaws notably my methodology.,important The reaction was overwhelmingly negative.,Negative
The client was impressed with really delivery.,The progress exceeded extremely,Positive
The company is essential updating its privacy policy.,The particularly in the office darkened.,Neutral
thoroughly I submitted my report to the supervisor.,Everyone effectively was frustrated by the outcome.,Neutral
impressed with our delivery. The client was,The solution benefited everyone involved.,Positive
The new software made efficiently my work much easier.,This transformed the project slightly,Positive
The client requested additional information about our services.,The innovative approach inspired others.,Neutral
I couldn't answer an important question during really presentation.,This is normal for this time period.,Negative
The system important update will happen over the weekend.,The particularly functions as designed.,Neutral
on my proposal draft. I'm waiting for feedback,This is routine for the effectively department.,Neutral
